,oos_equity
2016-01-04,999258.7392445813
2016-01-05,998846.7040883007
2016-01-06,997221.566459868
2016-01-07,998015.97710055
2016-01-08,1000787.6190852589
2016-01-11,1001034.3153996568
2016-01-12,999783.9218392329
2016-01-13,999537.6674756376
2016-01-14,1001673.5798476802
2016-01-15,1001673.5798476802
2016-01-19,1001673.5798476802
2016-01-20,1001673.5798476802
2016-01-21,1001673.5798476802
2016-01-22,1001673.5798476802
2016-01-25,1001673.5798476802
2016-01-26,1001673.5798476802
2016-01-27,1001673.5798476802
2016-01-28,1001473.297994643
2016-01-29,1000707.6588085813
2016-02-01,1001825.5206113247
2016-02-02,1000650.7840201426
2016-02-03,1000415.2893016896
2016-02-04,999479.4956110088
2016-02-05,999330.4413487822
2016-02-08,999585.1223545336
2016-02-09,999569.1518176714
2016-02-10,999553.662805998
2016-02-11,999557.9062483923
2016-02-12,999535.3314737896
2016-02-16,999574.9129409844
2016-02-17,999581.2274938375
2016-02-18,999579.8232277767
2016-02-19,999581.8057938628
2016-02-22,999582.0143361342
2016-02-23,999586.0172965018
2016-02-24,999588.5741976558
2016-02-25,999589.6333131022
2016-02-26,999589.2939717701
2016-02-29,999590.3262580405
2016-03-01,999590.829471571
2016-03-02,999590.9690329
2016-03-03,999591.0136927641
2016-03-04,999590.8523013343
2016-03-07,999590.6796621495
2016-03-08,999590.641042028
2016-03-09,999590.6467008553
2016-03-10,999590.6475912882
2016-03-11,999590.5994142656
2016-03-14,999590.6033715598
2016-03-15,999590.610291714
2016-03-16,999590.6096629974
2016-03-17,999590.6058051668
2016-03-18,999590.6049204632
2016-03-21,999590.6056032968
2016-03-22,999590.6059969708
2016-03-23,999590.6059711492
2016-03-24,999590.6060882848
2016-03-28,999590.6060835697
2016-03-29,999590.6060595374
2016-03-30,999590.6059748306
2016-03-31,999590.6059480298
2016-04-01,999590.6059315072
2016-04-04,999590.6059327336
2016-04-05,999590.6059322623
2016-04-06,999590.6059372609
2016-04-07,999590.605935053
2016-04-08,999590.6059365447
2016-04-11,999590.6059362557
2016-04-12,999590.6059357576
2016-04-13,999590.60593607
2016-04-14,999590.6059359101
2016-04-15,999590.6059360357
2016-04-18,999590.6059359044
2016-04-19,999590.6059359328
2016-04-20,999590.6059358938
2016-04-21,999590.6059358157
2016-04-22,999590.6059357714
2016-04-25,999590.6059357831
2016-04-26,999590.6059357828
2016-04-27,999590.605935778
2016-04-28,999590.6059357774
2016-04-29,999590.6059357794
2016-05-02,999590.6059357764
2016-05-03,999590.6059357752
