segment,fast_base,slow_base,entry_z
0,15,40,2.4
1,15,40,2.4
2,15,40,2.4
3,15,40,2.4
4,15,40,2.4
5,20,50,2.2
6,15,40,2.2
7,20,50,1.6
8,20,50,2.2
9,20,50,2.2
10,15,40,2.2
11,15,40,1.8
12,20,50,2.2
13,20,50,2.0
14,20,50,2.0
15,15,40,2.0
16,15,40,1.6
17,15,40,1.6
18,15,40,1.6
19,15,40,1.6
20,15,40,1.6
21,15,40,1.6
22,15,40,2.0
23,15,40,2.0
24,15,40,2.0
25,15,40,1.6
26,15,40,2.4
27,20,50,2.4
28,15,40,2.4
29,20,50,2.4
30,20,50,2.2
31,20,50,2.4
32,15,40,1.6
33,15,40,1.6
34,15,40,1.6
35,15,40,1.6
36,15,40,1.6
37,20,50,1.6
38,20,50,1.6
