==============================================================================
WALK-FORWARD OPTIMISATION REPORT
==============================================================================
Segments              : 39
Acceptance rate       : 38.5%
Mean degradation      : -22.58%

Stitched out-of-sample performance:
------------------------------------------------------------------------------
                    start_equity : 999,258.7392
                    final_equity : 1,022,284.3721
                total_return_pct : 2.3043
                        cagr_pct : 0.2339
                    sharpe_ratio : 0.2016
                   sortino_ratio : 0.1064
                    calmar_ratio : 0.0905
                max_drawdown_pct : 2.5848
      max_drawdown_duration_bars : 832.0000
                   recovery_bars : 0.0000
                   drawdown_bars : 2,258.0000
       annualised_volatility_pct : 1.1942
                      var_95_pct : 0.0327
                     cvar_95_pct : 0.1619
                    hit_rate_pct : 11.6809
             active_hit_rate_pct : 47.2039
                    exposure_pct : 24.7456
                 best_period_pct : 0.8959
                worst_period_pct : -1.3286
                     num_periods : 2,457.0000
                     max_dd_peak : 2021-11-05
                   max_dd_trough : 2025-03-03

Per-segment detail:
------------------------------------------------------------------------------
    segment    is_start      is_end   oos_start     oos_end  is_sharpe  oos_sharpe  degradation_pct  accepted  combinations
0         0  2015-01-02  2016-01-04  2016-01-04  2016-04-05      0.762       0.664            12.89      True            10
1         1  2015-04-06  2016-04-05  2016-04-05  2016-07-05      0.664      -1.465           320.53     False            10
2         2  2015-07-06  2016-07-05  2016-07-05  2016-10-03      0.828       0.000           100.00     False            10
3         3  2015-10-02  2016-10-03  2016-10-03  2017-01-05      0.766       0.000           100.00     False            10
4         4  2016-01-04  2017-01-05  2017-01-05  2017-04-06      0.718      -0.579           180.71     False            10
5         5  2016-04-05  2017-04-06  2017-04-06  2017-07-07     -0.665       0.307             0.00      True            10
6         6  2016-07-05  2017-07-07  2017-07-07  2017-10-06      0.389       0.525           -34.95      True            10
7         7  2016-10-03  2017-10-06  2017-10-06  2018-01-09      0.073       1.044         -1335.95      True            10
8         8  2017-01-05  2018-01-09  2018-01-09  2018-04-12      0.212       0.119            44.07     False            10
9         9  2017-04-06  2018-04-12  2018-04-12  2018-07-12      0.188       1.581          -740.17      True            10
10       10  2017-07-07  2018-07-12  2018-07-12  2018-10-10      0.894       0.715            20.00     False            10
11       11  2017-10-06  2018-10-10  2018-10-10  2019-01-11      1.326       0.948            28.53     False            10
12       12  2018-01-09  2019-01-11  2019-01-11  2019-04-12      0.586       0.349            40.41     False            10
13       13  2018-04-12  2019-04-12  2019-04-12  2019-07-16      1.517       0.259            82.94     False            10
14       14  2018-07-12  2019-07-16  2019-07-16  2019-10-14      0.788       0.903           -14.49      True            10
15       15  2018-10-10  2019-10-14  2019-10-14  2020-01-14      1.189       0.812            31.71     False            10
16       16  2019-01-11  2020-01-14  2020-01-14  2020-04-15      0.614       0.359            41.54     False            10
17       17  2019-04-12  2020-04-15  2020-04-15  2020-07-15      0.620       0.343            44.77     False            10
18       18  2019-07-16  2020-07-15  2020-07-15  2020-10-13      0.924       0.000           100.00     False            10
19       19  2019-10-14  2020-10-13  2020-10-13  2021-01-13      0.805      -0.125           115.56     False            10
20       20  2020-01-14  2021-01-13  2021-01-13  2021-04-15      0.378      -0.295           178.08     False            10
21       21  2020-04-15  2021-04-15  2021-04-15  2021-07-15      0.243       0.186            23.37     False            10
22       22  2020-07-15  2021-07-15  2021-07-15  2021-10-13      0.516       0.464            10.01      True            10
23       23  2020-10-13  2021-10-13  2021-10-13  2022-01-12      0.638       0.629             1.42      True            10
24       24  2021-01-13  2022-01-12  2022-01-12  2022-04-13      0.603      -0.217           135.97     False            10
25       25  2021-04-15  2022-04-13  2022-04-13  2022-07-15      0.220       0.880          -300.01      True            10
26       26  2021-07-15  2022-07-15  2022-07-15  2022-10-13      0.264       1.020          -285.62      True            10
27       27  2021-10-13  2022-10-13  2022-10-13  2023-01-13      0.356       1.628          -356.98      True            10
28       28  2022-01-12  2023-01-13  2023-01-13  2023-04-17      0.194       1.567          -707.23      True            10
29       29  2022-04-13  2023-04-17  2023-04-17  2023-07-18      1.060      -0.797           175.18     False            10
30       30  2022-07-15  2023-07-18  2023-07-18  2023-10-16      0.920      -0.827           189.91     False            10
31       31  2022-10-13  2023-10-16  2023-10-16  2024-01-17      1.041       0.129            87.57     False            10
32       32  2023-01-13  2024-01-17  2024-01-17  2024-04-17      0.950       1.064           -12.07      True            10
33       33  2023-04-17  2024-04-17  2024-04-17  2024-07-18      0.225      -0.156           169.22     False            10
34       34  2023-07-18  2024-07-18  2024-07-18  2024-10-16     -0.062       0.832             0.00      True            10
35       35  2023-10-16  2024-10-16  2024-10-16  2025-01-16      0.335      -1.120           434.44     False            10
36       36  2024-01-17  2025-01-16  2025-01-16  2025-04-17      0.470      -0.437           192.95     False            10
37       37  2024-04-17  2025-04-17  2025-04-17  2025-07-21      0.429       0.425             0.85      True            10
38       38  2024-07-18  2025-07-21  2025-07-21  2025-10-17      0.738       0.412            44.16     False            10
==============================================================================
